#,type,text,label,aggregatedAnnotationConfidence,annotator1,annotator2,annotator3
386,TWEET,"""15 مايو 1948... لن ننسى :فلسطين أرضنا.  ولن نغفر: ( إسرائيل) عدونا.""",0,1,0,0,0
388,C2,فلسطين مش ارضنا ولا قضيتنا,0,1,0,0,0
389,C3,ﻻ فلسطين أرض العرب والمسجد الاقصي قضيه كل مسلم,0,1,0,0,0
391,C5,تحية من قلب عربي فلسطيني إلى قلب عربي مصري..حمدين صباحي كنت أتمنى فوزك بالإنتخابات الرئاسية المصرية و أنت أهل لذلك,0,1,0,0,0
394,C8,اسمه الكيان الصهيوني مش اسرائيل,0,1,0,0,0
395,C9,"""امال ايه الحل من وجهة نظرك ؟  عايز المجرمين  يخربوا بلدنا و يفجرونا و يقتلوا أولادنا و احنا نعمل لهم عنابر تسمين ؟""",0,1,0,0,0
397,TWEET,اقالة وزير العدل هى الحد الأدنى للرد على تصريحاته المشينة المهينة للمصريين .,0,1,0,0,0
398,C1,طب وبالنسبه للي قتلوا الآلاف واعتقلوهم وعذبوهم حتى الموت في الاقسام دول مش هتقولهم حاجه؟ اللي ماتوا واعتقلوا دول مصريين برضو!,0,0.6667,-1,0,0
399,C2,مش هيرد عليك يا عمر  مش هيرد عليك ... مش هيرد لأنه ماااااات,0,0.6667,-1,0,0
400,C3,"""يعني ايه مات   كان فيه معتقلين هنا ! وتعذيب وقتل  واغتصاب !  دة حتى شفته في انتخابات رئاسية !!""",0,0.6667,-1,0,0
404,C7,طبعاً موجود هو الأمل الي احنا عايشين بيه صباحي الأفضل مصري بجد حاسس بينا,0,1,0,0,0
406,C9,"""الصراحه الراجل قال واقع حاصل بس مكانش لازم يفسرها كده فى وشنا  هما بيعمولها صحيح والشعب واخد على قفاه بس توصل البجاحه لكده""",0,0.6667,0,-1,0
408,TWEET,"""يختلف المنصفون على القضاء الشامخ لكنهم يتفقون على القاضى الشامخ: زكريا عبد العزيز. كل التضامن مع المستشار الجليل النبيل رمز استقلال القضاء""",0,1,0,0,0
409,C1,أفقدتنا الثقة فيك للأسف..انا حزين إني وصلت للرأي ده,0,0.6667,0,0,-1
412,C4,مش بترد على الواتس ليه ياسطى .. رد علوزك بجد با ريس,0,0.6667,0,-1,0
417,C9, زعﻻن من غيبتك الطويله فرحانلك باستراحة المحارب دي...بس صوتك وحشنا ياابو النضال وثقتنا فيك مابتتهزش يانسر :),0,1,0,0,0
419,TWEET,"""تحية للعمال فى عيدهم . وللفلاحين فى سرسو. ولكل الساعين رغم مشقة الطريق الطويل نحو الهدف البعيد النبيل : العدالة الاجتماعية.""",0,1,0,0,0
421,C2,سبيه هو خلاص عرف غلطه,0,0.7143,0,-1,0
442,C1,ضاعت الاخلاق و القيم و الدليل هذه التعليقات,0,1,0,0,0
445,C4,بس يا ريس بقى ماتصغرناش ده انت كنت واقف مش عارف انت فين اصلا ده هشام الحرامي كان دريان عنك لما اتمسك,0,0.3333,-1,0,-2
450,C9,محكوم اعدام وتغرد ازي بقي يا عصفور,0,0.6667,0,0,-1
452,TWEET,"""إننا سنحمل وطننا على أكتافنا ، وننصر ثورتنا ، ونعلي قيمها وأهدافها ، ونستنقذ مصرنا من تلك الطغمة المستبدة .  #الرئيس""",0,0.6667,0,0,-1
453,C1,اللهم بحولك وقوتك وكرمك وفضلك رده سالما غانما لمصر وشعبها مرفوع الهامة منصورا,0,1,0,0,0
454,C2,كل سنة وأنت طيب يا ريس وان شاء الله العيد القادم تكون فى منصبك وسط شعبك بحول الله وقوته,0,1,0,0,0
456,C4,"""كان ممكن أرد عليك واشتم  بس الله يسامحك""",0,1,0,0,0
463,TWEET,"""كل عام وأنتم بخير وثورتكم مصونة منصورة . محمد مرسي رئيس جمهورية مصر العربية #الرئيس""",0,1,0,0,0
464,C1,كل سنة وحضرتك طيب وحر مع إني قلت يسقط يسقط حكم المرشد بس كل حاجة وضحت بعد كده,0,1,0,0,0
465,C2,مبقاش باين مين الصح والغلط ومين خايف عالبلد بس كل اللي اتريقنا عليه أيام #مرسي اتخرصنا عليه أيام #السيسي,0,1,0,0,0
474,TWEET,لقد أحال الانقلاب الوطن إلى بحور جراح أعلم أن الثورة طبيبها ، وأن القصاص منتهاها ... فاستبشروا خيرا واستكملوا ثورتكم والله ناصر الحق #الرئيس ,0,1,0,0,0
475,C1,الله ينصرك ربي ويعزك ويرفعك  انت وكل مخلص قابع بالمعتقلات ظُلماً وزورا,0,1,0,0,0
476,C2, ربنا يحفظك يا رئيس ويحفظ اسرتك الكريمة كلنا معاك يا ريس يسقط سيقط حكم الخونة,0,0.6154,-1,0,0
479,C5,طوال عام كامل أحسسنا بأن مصر تضيع من أبنائها وأشقائها وجميع ذلك كان سببه سياساتك التي أعطت لجماعتك مطلق الحرية في تخوين الكل,0,1,0,0,0
480,C6, الثورة مستمرة ولن نفرط فى الشرعية حتى ولو اريقت دمائنا جميعا,0,1,0,0,0
482,C8,ثبتكم الله وعجل الله فرجكم فلا تهنوا وﻻ تحزنوا لكم الأمن والعاقبة ولهم الرعب والهلاك .,0,1,0,0,0
485,TWEET,ان شاء الله لن أغادر سجني قبل أبنائي المعتقلين ولن أدخل داري قبل بناتي الطاهرات المعتقلات وليست حياتي عندي أغلى من الشهداء الأبرار #الرئيس,0,1,0,0,0
488,C3,"""ممكن يا ياسمين تقوليلوا انه خروف ﻷني قولتله كتير بس بيفتكرني بشتمه يمكن يصدقك إنتي""",0,0.3333,-2,0,-1
494,C9,ليت كل الرجال مثلك أيها البطل المجاهد الشريف,0,1,0,0,0
496,TWEET,الانقلاب الكسيح وقياداته خائفين من مصير أسود عقابا لهم على ما اقترفته أيديهم من جرائم في حق هذا الشعب العظيم #الرئيس,0,0.6429,0,0,-1
497,C1,"""اللهم كُن له وثبته وانتقم ممن ظلمه، اللهم أهلك من فرّق وحدتنا وشتتنا.  اللهم انتقم من اللي بيشتموا في المينشنز بردو :)))""",0,1,0,0,0
500,C4,واقترب هذا اليوم ان شاء الله فلا يضيع حق وراءه مطالب فكيف بدماء الشهداء فلا تفاوض علي دماء الشهداء من قتل يقتل,0,1,0,0,0
502,C6,ان كان على الشتيمة انا مش بحب اشتم ولكن فى ساعات يخرجوا الواحد عن ادبه,0,0.7143,-1,0,0
507,TWEET,أعلن للعالم كله أن بوصلتنا مضبوطة على دعم فلسطين ضد المحتل الغاصب وأننا مع كل مقاومة ضد أي محتل #الرئيس,0,1,0,0,0
509,C2,"""أنا أعترف بأن الذي دبر الانقلاب ضدك  يادكتور محمد السعودية والامارات وقلوبنا معك ونحن مع الاخوان المسلمين  والسيسي قرب يومه""",0,1,0,0,0
510,C3,لهالكلمات انا عارفة انت معتقل ياريس بس معلش المعتقل للرجال وللأسوود الله يحفظك وينصرك,0,1,0,0,0
511,C4,"""ربنا يفك اسرك يا ريس وأسر الأحرار عاجل غير اجل""",0,1,0,0,0
518,TWEET,الله يشهد أني لم آل جهداً أو أدخر وسعاً في مقاومة الفساد والإجرام بالقانون مرة وبالاجراءات الثورية مرة فأصبت وأخطأت ولكني لم أخن فيكم أمانتي,0,1,0,0,0
519,C1,"""الدكتور محمد مرسي. وجه يتشرف المصريين عندما يقولون هذا هو رئيسنا. لايظلم كعبدالناصر  لايسرق كحسني ولايخون كالسيسي""",0,0.6429,0,0,-1
521,C3,ان شاء الله هيرجع واعدام القتلة فى ميدان رابعة,0,1,0,0,0
524,C6,اخوي صالح انا مو ضد ولا مع مرسي بس عندي استفسار بسيط هل صحيح انه سمح ليران بناء حسينات,0,1,0,0,0
525,C7,لاتفكر اني ابحث شيء يسيء الضن في مرسي بلاعكس بس كنت اتجادل مع شخص واعطاني هالمعلومات وحبيت اتاكد,0,1,0,0,0
526,C8,عاش الرئيس الدكتور #محمد_مرسي عاش وشكراً لصاحب فكرة إعادة التغريد من الحساب وقريب الرئيس نفسه هيغرد منه إن شاء الله #الرئيس,0,1,0,0,0
529,TWEET,"""شعب مصر العظيم  أهنئكم بالعام الهجري الجديد والوطن في ذروة ثورته ، وشبابه في أوج عزمهم ونفاذ كلمتهم #الرئيس""",0,1,0,0,0
530,C1,كل عام و انت طيب يا ريس ناصرا للحق منصورا به إن شآء الله :)),0,1,0,0,0
536,C7,ربما يكون الاخوان قد فشلوا سياسيا ولكنهم لم يفشلوا وطنيا ولم يكذبوا ولم يتآمروا ولم يقتلوا المصريين,0,0.6667,-1,0,0
537,C8,مرسي وجماعته هم احرص الناس علي الدول العربية وعلي أمنها ويموتون دونها ولا يسفكون دما ابدا وكل هذا محض افتراء,0,0.6667,-1,0,0
540,TWEET,أصارح الإخوة المسيحيين بأني لاأشعر براحةكبيرة لتلك العلاقات الفاترةالتي لاتخطئها عين خلف الابتسامات والزيارات واللقاءات البروتوكولية #الرئيس,0,0.7143,0,0,-1
543,C3,عدد من القتلى اليوم، والوضع ع وشك الانفجار، ثم يأتي مدعي الشريعة لينكر ع سياسي في عنقه ملايين الناس مسألةجزئية، ليهنك الفقه أبافوزي,0,0.7143,0,0,-1
544,C4,"""""مدعي الشريعة"" كلمة ماهي طيبة منك أخي عبدالرحمن، سامحك الله، على ماذا تنكر علي؟ خالفت الشريعة بماذا؟""",0,0.7143,0,0,-1
551,TWEET,الكل يعلم ان كل اخواني او بيحترمهم يتحسسون اقفيتهم العريضة منذ ديسمبر٢٠١٢ فكل مصري قد طبع كفه عليها،دعهم يحترقون ولا توجد لهم مراهم #مصر,0,0.6429,0,0,-1
564,C2,اظهر الفروقات الخمس بين هذين الاخوين واكسب معانا خيشت رز. ,0,0.6429,-1,0,0
573,TWEET,"""معلومة:لجنة ال٥٠تم تشكيلها بمعرفة رؤوس الدولة ومنهم #السيسي اتعجب:ممن اكتشفوا فجأة ان الدستور لا يصلح بعد تعليق #الرئيس ،لعن الله المنافقين""",0,0.7143,0,0,-1
581,C8,"""العيب و اللعنة مش على المعرضين و المنافقين لوحدهم  العيب على اللى قابل التعريض و النفاق و ما بيقولشى لا و لا عيب""",0,0.3571,0,-1,-1
584,TWEET,"""#اليوم_السابع |  يوسف الحسينى تعليقا على #قانون_مكافحة_الإرهاب : ""كنت عاوزه أشد من كدا""""",0,1,0,0,0
587,C3,اذا كان هو كده والارهابين رادو عليه باالعتف ده ولو بقي اشد هيهدو البلد يااستاذ يوسف,0,1,0,0,0
595,TWEET,تلبية لرغبتكم،الليلة حصريا نعيدعرض اخطر وثيقتين اصليتين من داخل مجلس الوزراء القطري حول تمويل الجزيرة وتعذيب ابن عم تميم #طلعت_ريحتكم #قطر,0,0.6154,-1,0,0
599,C4,شكرا علي.الاعادة الحلقة متميزة وانا عن نفسي شفتها تاني شكرا يا يوسف,0,1,0,0,0
600,C5,تخية عطرة من الادن ،انا من متابعيك ،احتاح منك مساعدة كيف يمكنتي التواصل,0,1,0,0,0
602,C7,الراجل بيقول وثائق ايه لزمه الشتيمة,0,1,0,0,0
606,TWEET,امتنع عن شراء اللحوم الحمراء و مصنعاتها و اقرص ودن التاجر الجشع و يمكن الحكومة تخشن شوية #بلاها_لحمة,0,1,0,0,0
607,C1,في الكويت هناك حملة شعبية لمقاطعة شراء السمك بسبب ارتفاع أسعاره الجنونية  ...,0,1,0,0,0
608,C2,من يوم موضوع لحم الحمير وانا ممتنعه عن اللحمة بلاها قرف #بلاها_لحمه,0,0.7143,-1,0,0
609,C3,"""ياريتكم تخوضوا الحرب الخارجية بنفس ضراوة ما تفعلون بالداخل  ردوا ع مرتزقة الجزيرة الذين يعيثون هنا فسادا وتشويها.!""",0,0.6429,0,0,-1
611,C5,وانت علي بالك بتاخد راتب من التليفزيون زي راتب وزير وبتقول ممتنع عن اكل اللحمة. امال الفقراء يعملوا ايه ياكلوا طووب,0,0.7143,-1,0,0
614,C8,فيه افراد من الحكومة مستفادة من الاسعاردي ، زي ما هي مستفادة من اسعار الغذاء والحديد والاسمنت والاعلاف والعربيات والسلاح,0,1,0,0,0
616,C10,مش دة الحل يا برنس الحل فى ان الدولة تمنع ذبح العجول البتلو والاناث وتدعم الاعلاف للمربيين زى زمان الجزار  لا علاقة لةاكيد بلاها لحمه بس ياريت بتوع الفراخ  ميستغلوش الموقف,0,1,0,0,0
617,TWEET,مابين انظمة احترفت الشجب والتنديد وبين ميلشيات عفنة احترفت المزايدة ستظل القضية العربية #فلسطين كما هى،هذه نكبتنا #مصر #السعودية #الإمارات,0,0.7222,0,0,0
618,C1,للاسف الميليشيات العفنه ضيعت القضية.الفلسطينية !!,0,0.7222,0,0,0
619,C2,والله لو نزلوا الشوارع وناموا فيها وجابوا شلل لاسرائيل حانشوف ندعمهم ازتي,0,1,0,0,0
620,C3,"""نكبة ليه بس هو إحنا بنستمد الشعارات والطهارة غير منها وهى ورقة التوت اللى بنغطى بيها مساؤنا وأفعالنا دى نعمة لكتير مش نكبة""",0,1,0,0,0
622,C5,مابين خونه ومرتزقه تضيع القضيه ولا عزاء لشهداء ضحوا بارواحهم من اجل لا شئ,0,0.7222,0,0,0
628,TWEET,العجيب فهمي هويدي ينتقد #الإمارات لتمويلها إقامة مراكز بحثية لمكافحة الإرهاب #السادة_المحترمون,0,0.6667,-1,0,0
630,C2,مش لازم يكتب عن فهمي هويدي المهم انه يرجع يكتب وخلاص :),0,1,0,0,0
639,TWEET,مقاتلات الرافال ستحلق بسماء القاهرة والجيزة فى الثانية والربع ظهرا #مصر #تحيا_مصر #السيسي,0,1,0,0,0
643,C4,يترى حطير بحنيه علشان متزعجش حضرتك ...وما تنتقدهاش كعادتك,0,0.6667,0,-1,0
645,C6,"""تحيا مصر #ام_الدنيا يارب مصر دايماً من نصر لنصر احفظ بلادنا يارب واملاها من خيرك""",0,1,0,0,0
650,TWEET,"""الحكومة توافق على إطلاق اسم المستشار هشام بركات على ميدان ""رابعة"" سابقا #مصر #تحيا_مصر #السيسي""",0,1,0,0,0
661,TWEET,#رصد | #شاهد.. رجال دين أجازوا الجنس والخمر وسماع الأغاني,0,0.3333,-1,0,-2
662,C1,هؤلاء دعاه على ابواب جهنم كما اخبرنا المصطفى صلى الله عليه وسلم,0,0.6667,-1,0,0
664,C3,عليهم من ربهم ما يستحقون,0,0.6667,-1,0,0
668,C7,"""حسبنا الله ونعم الوكيل ﻻ لﻻسف الشرفاء في السجون""",0,0.6667,-1,0,0
670,C9,لاهم رجال ولالهم علاقة بدين وخاصة الآديان السماوية كلها حرمت الرزائل التي يحلها هؤلاء الآدعياء ودين الاسلام اكمل وآصح دين,0,0.6667,-1,0,0
672,TWEET,#رصد | #السيسي يصدر قرارا جمهوريا بفرض ضريبة على تذاكر السفر للخارج,0,1,0,0,0
675,C3,لسنا قليلاً لكن خوفنا قاهرنا,0,1,0,0,0
676,C4,السكوت له ضريبة وثمن كما ان الاعتراض له ضريبة وثمن,0,1,0,0,0
677,C5,صدقت ثمن الإعتراض الموت والنفى ثمن السكوت الخزى والعار,0,0.7143,0,0,-1
680,C8,هتدفعو يعني هتدفعو,0,1,0,0,0
683,TWEET,#رصد | بلاغ للنائب العام يتهم الفنانة #انتصار بالتحريض على الفسق والفجور,0,1,0,0,0
685,C2,انتصار - لديها توكيل - خليجى - دولى - والله ما حد داخل مصر يقدر يعمل لها حاجة -,0,1,0,0,0
697,C3,البرلمان من غيرك ملوش طعم,0,1,0,0,0
698,C4,"""سما المصري بعد استبعادها . هل هي فقط من تستحق الاستبعاد؟  سمك ، لبن، تمر هندي""",0,1,0,0,0
700,C6,هو علشان السيسي مبسوط معاك معناه لازم ترشحي نفسك في البرلمان,0,0.7692,-1,0,0
702,C8,مخرج مشهد ٣٠ سونيا تقصد خالد يوسف تعني انه مثلها سيء السمعه خسئتي ده احلي من الشرف مفيش !!!,0,0.6154,0,-1,0
714,C9,لاحول ولاقوة الا بالله,0,1,0,0,0
715,C10,ابشركم ااسياحه حتتوقف نهائبا,0,1,0,0,0
716,TWEET,"""#رصد | مغردون يرشحون ""#مرسي"" لنيل جائزة #نوبل للسلام""",0,1,0,0,0
717,C1,وده وهو ماسك حمامة السلام,0,0.6667,0,-1,0
718,C2,وهو نحسبه حاز شهادة صدق الإيمان,0,1,0,0,0
719,C3,كان حيرفع شان مصر ولو كان موجود ما تجرا ال سعود على اليمن  . ليس لانه اخواني لا فقط لان فيه روح الحاكم العادل . مجرد راي شخصي,0,1,0,0,0
725,C9,هوا راجل كويس.. بس مش توصل لنوبل ..,0,0.6667,0,0,-1
727,TWEET,#رصد | #مقالات | محمود عليان يكتب : متى يفيق المصريون من وهم #السيسي ؟,0,1,0,0,0
728,C1,يفيقون  عندما يستقيل,0,1,0,0,0
729,C2,لما تفوق انت من وهم الاخونه,0,1,0,0,0
730,C3,لما تبطلو انقلابات علي بعضكم البعض هههههههههههه,0,1,0,0,0
736,C9,معلش هو المخدر قوي كتير,0,1,0,0,0
737,C10,عندما يصاب الجميع بهذا الوباء,0,1,0,0,0
738,TWEET,#رصد | وائل غنيم يعلن عودته إلى الكتابة: سأسرد تفاصيل الـ5 سنوات الماضية,0,1,0,0,0
743,C5,كما لو أنه عندة الحقيقة كاملة,0,1,0,0,0
745,C7,ههههههههه هو كتب من مصر ولا من أمريكا بس شوف اهم حاجه انك تتهم الاخوان,0,0.6429,0,0,-1
749,TWEET,#رصد | #السبكي: إمكانياتي لا تسمح لي بإنتاج أفلام دينية,0,0.6429,-1,0,0
764,C4,محدش يلوم عليهم في حد ممكن يقول علي اخواته غير كدا,0,0.6923,0,0,-1
768,C8,خسئوا! هم معتدون ظالمون قتلة؛وعدل اللهسيدخلهم جهنم إن شاء الله!,0,0.3846,0,-1,-2
771,TWEET,في مصر فقط: يتم استبعاد راقصة من الترشح للبرلمان لان الرقص دليل على سوء السلوك و بشكل كبار اللصوص وعملاء الامن قائمة انتخابية تفوز بالاغلبية,0,0.8235,0,-1,0
782,TWEET,العدالة ﻻ تتحقق بتخفيف الظلم جزئيا وانما بازالة اسبابه.مبروك للمفرج عنهم ولكن ماذا عن الاف المعتقلين ولماذا الابقاء على قانون التظاهر الباطل,0,1,0,0,0
799,C6,لكن مرسي لم يكن كذلك و خرجتم عليه، الا تشاطرني الرأي أستاذي المحترم؟,0,1,0,0,0
804,TWEET,الحكومة المصرية تسعى لاسترضاء اهالي الضحايا المكسيكيين الذين قتلتهم لكنها تتجاهل الضحايا المصريين .المصري ديته كم الف جنيه وعمرة للوالدين .,0,0.7143,0,-1,0
810,C6,طبعا انت عارف ان معظم المكسيك اخوان فمثلا عندك خوان كارلوس وخوان مانويلا وخوان لوبز ومعظمهم كده :),0,0.6429,-1,0,0
815,TWEET,الدستور الحالي يمثل ارادة الشعب الذي وافق عليه باغلبية كبيرة.لايجوز تعديل الدستور الا بواسطة نواب الشعب عبر استفتاء جديد.هكذا الدول المحترمة,0,1,0,0,0
816,C1,"""لكن يجوز الغاء الدستور بأمر وزير الدفاع وتصفيق ""المثقفين""""",0,1,0,0,0
826,TWEET,مشايخ الوهابية يصرفون الملايين من اجل نشر الحجاب والنقاب ولا يفعلون شيئا لانقاذ اللاجئين السوريين لان خوفهم من جسد المراة اكبر من انسانيتهم,0,0.7143,-1,0,0
828,C2,"""بزمتك فى بنت محترمه تقول لواحد اد ابوها ""يابن الوسخه يا شاذ"" يا مدعية الفضيله يا خضرا الشريفه""",0,0.3571,-1,-2,0
830,C4,"""شتمت وبعدين عملتلى بلوك عشان مشتمهاش حاجه اخر وساخه تربيه وسخه صحيح معلش يا دكتور متضايقش نفسك""",0,0.3571,-1,-2,0
832,C6,و ما علاقة العلمانية بما فعله عبدالفتاح؟ و ما علاقة علاء الأسواني بالحريمة التي ارتكبها الجنرال؟!,0,1,0,0,0
836,C10,الشرك؟ هل تسمي الأدب و الروايات شرك؟,0,0.6429,0,0,-1
837,TWEET,بعد المجهود الذي بذله اعضاء مجلس حقوق الانسان في تقرير اكد ان معاملة السجناء في سجن العقرب ممتازة . اليس من حقهم زيادة مرتباتهم من الحكومة ؟,0,0.6154,0,-1,0
838,C1,"""عايزين نحجز لينا أسبوعين في #العقرب طالما حالته احسن من الفنادق  وأكيد اللي بيموتوا هناك دا من السعادة #تحيأ-مصر""",0,1,0,0,0
839,C2,وياريت ندعي لتوحيد مذاهب الترفيه بين الشروق والمطريه وبورتو العقرب على مذهب أنون أباسعده,0,1,0,0,0
845,C8,و أليس من حقك زيادة مرتبك من اللي مشغلينك؟,0,0.6154,0,-1,0
847,C10,اعتقد ان المشكلة مش فى السجون ، المشكلة فى أماكن الاحتجاز قبل العرض على النيابة يادكتور علاء,0,1,0,0,0
848,TWEET,"""رواية ""نادي السيارات"" تحصل على المركز الثالث في أفضل عشر روايات صدرت في أمريكا هذا الشهر التفاصيل""",0,1,0,0,0
850,C2,ديك بلدى ولا مستورد ولا رومى هو الكيلو بكام دلوقتى ههههههههههه,0,0.6429,-1,0,0
851,C3,ديك بلدي يا حنان - ما تيجي يا حنان و نجيب سامي عنان - أموت انا,0,0.3571,-2,-1,0
855,C7,تفتخر مصر ابنها الأديب علاء الاسوانى شكرا لة دليل على ابداع وفن أصيل ومعرفة أدبية يقف العالم أمامها باحترام وتقدير لمصر العلم,0,1,0,0,0
858,C10,مبروك يا علاء تستاهل كل خير ولو ان انضحك عليك زى ماانضحك علينا كلنا وخربنها وقعدنا على تلها طلعنا كلنا عنب وارجوزات,0,0.6429,-1,0,0
871,C1,يعني السيسي متدين !!,0,0.6154,0,-1,0
872,C2,"""لا دة هو قايل كلمة معظم مخصوص عشان السيسي 😂 و متاكد طبعا ان علاء الاسواني مش موافقني الرأي""",0,1,0,0,0
875,C5,على الاقل كان فى حريات كنت بتقول مرسى ديكتاتور  الى هو ازاى ان ديكتاتور يسمح انه يتقال عليه ديكتاتور سللملى على ايزنهور مصر.,0,1,0,0,0
878,C8,انت وصلت فيك الحالة انك تكتب بالرموز والتشفير والتلميح، وين صراحتك وجرأتك في عهد مرسي، اللهم انتقم من كل كذاب ومنافق،,0,0.6154,0,-1,0
881,TWEET,دائماً ماتكون البدايات صعبة... اما أن تنازع لتصل...و اما أن تبكى لانك بدأت.,0,1,0,0,0
882,C1,في الاول كنت احبك لكن دلوقتي خلاص,0,1,0,0,0
891,C10,احنا ماشيين باتجاه وضعين مالهومش تالت اما الوضع السوري او الوضع الليبي، الشاطر يخلع عالبدري,0,1,0,0,0
892,TWEET,<الْحَمْدُ لِلَّهِ الَّذِي أَنزَلَ عَلَى عَبْدِهِ الْكِتَابَ وَلَمْ يَجْعَل لَّهُ عِوَجَا>,0,1,0,0,0
903,TWEET,"""#إبراهيم_عيسى يكتب :عن الأحزاب التى لا تتحزَّب  فى مصر ٨٤ حزبًا..  هل تشعر بها؟  ما أقرب حزب إلى بيتك؟ لا أقول...""",0,1,0,0,0
904,C1,جميل،ولو كانت الأحزاب قوية و واقفة على أرض صلبة مكنتش عملت تحالفات،افتكرت كنت بتسأل أحمد هو مين الحزب الجمهوري ده يا أحمد :),0,1,0,0,0
905,C2,٨٤حزب والله العظيم أنا مأعرف غير ٣ أحزاب أسف أقصد أسماء ٣ أحزاب,0,1,0,0,0
907,C4,يا فرحتي بالمصري ٨٤ حزب كلهم احزاب  زي خبتها,0,0.6923,-1,0,0
909,C6,الحقيقة انا من الصعيد وبالتحديد قنا وعمرى ما شفت حزب سياسى ولا حسيت بة ههههههههههه,0,0.6923,-1,0,0
910,C7,"""لبناء مستقل سياسي حقيقي لمصر بعيدا عن الاخوان والمتلونين والمتحولين والمنتفعين تابع""",0,0.6923,0,0,-1
914,TWEET,ارتفاع ضحايا حادث الأقصر إلى 20 شخصًا  علن أبو النجا الحجاجي، مدير مرفق الإسعاف بالأقصر، ارتفاع عدد ضحايا حادث...,0,1,0,0,0
917,C3,اقرا هذا المقال المختصر يا عيسى -عسى الله ان يهديك صراطا مستقيما,0,1,0,0,0
920,C6,اللهم ارحم موتانا واهدى سفهاءنا,0,1,0,0,0
921,C7,فين السياسين يا عيسى فين التحالفات الل هتقود البلد وتحقق مصالحه حزب النور المتطرف وفلوس ساويرس وعملاؤه ,0,1,0,0,0
925,TWEET,مليووون مبروووك للجزائر .مليووون مبروووك للعرب.,0,1,0,0,0
926,C1,السيسي وشه حلو ع الجزائر مبرووووووك,0,1,0,0,0
936,TWEET,#ابراهيم_عيسى يكتب :  كهنة الهراء وسفلة الأفكار النبيلة,0,1,0,0,0
938,C2,أستاذي الرائع احبك وأرجو الا يخيب ظني فيك كما خاب في الكثيرين,0,1,0,0,0
940,C4,واناس مشهورة منفصلين تمام الانفصال عننا كشعب .,0,1,0,0,0
942,C6,بصفة عامة .. إبراهيم عيسى وطني و مثقف و شجاع و غير تقليدي و أستاذ بجد و طبعا دمه خفيف .. بالتوفيق دائما,0,1,0,0,0
943,C7,يا ريت يا استاذ ابراهيم تبقى تعلق على اللى بيحصل فى الاعلام وتكون لازع فى انتقادك ليهم زى ما بتعمل مع بتوع تويتر والفيس,0,1,0,0,0
944,C8,أشكرك يا أستاذ ابراهيم. انت الوحيد اللى بتحسسنى أن انا لسه بعقلى,0,1,0,0,0
945,C9,هوﻻء ناس ﻻيوجد جديد اوفكر مﻻئم لحياة الناس كلهم عبيد اﻻعﻻم و السلطة هل عندهم حل لمشكلة الطاقة او النيل او التعليم او فى الطع,0,0.6667,0,0,-1
946,C10,ويكتب ايضا كهنة الاعلام وسحرة العقول الساقطة,0,0.6667,0,-1,0
947,TWEET,إبراهيم عيسى في شهادته.مبارك مسؤول عن كل قطرة دم.ولم ولن أقول ان جماعة 6 إبريل خائنة أوعميلة، أنا قلت إنهم شباب وطني,0,1,0,0,0
949,C2,وانا كمان ده انا اتربيت علي افكاره ومصدومه صدمه عمري,0,1,0,0,0
950,C3,اهو طلع براءه تفضل يا الحر قول كلمتك ولا خايف السيسي يسكتك زي مااخرصك قدام الناس انت لا راي لك قول مايقوله وشوف مايشوفه,0,0.6667,0,-1,0
952,C5,لا يااستاذى مبارك ماقتلش مصرى واحد قتلهم الارهابيين وكان مكافئتهم الحكم و ستة ابريل ساعدوا وقبضوا,0,0.6667,-1,0,0
957,C10,ايه اللي يخلي مهندس زيي او دكتور او اي مهنه تاني يسيب بلدو و يتغرب مع ان بلدنا فيها خير كتير,0,1,0,0,0
961,C3,يا استاذ ابراهيم عيسى  رويترز يمتلكها روتشيلد ..المتحكم فى المخابرات البريطانية.....,0,1,0,0,0
969,TWEET,كل عام وأنتم بخير..عيد أضحى سعيد :),0,1,0,0,0
971,C2,حسبى الله ونعم الوكيل فيك,0,0.5,-1,0,-1
973,C4,وانت بالف خير,0,1,0,0,0
974,C5,كل سنة وحضرتك طيب :) ,0,1,0,0,0
980,TWEET,"""يوم 16/9/1931--.اعدام أسد الصحراء عمر المختار  في صباح الأربعاء  16 سبتمبر 1931، اتُخذت جميع التدابير اللازمة..""",0,1,0,0,0
981,C1,رحم الله الشهيد، ذكري الوطني الحر تبقي في القلوب و ليس المدعين عملاء امريكا الذين تراهم علي الساحة يتطاولون.,0,0.6667,-1,0,0
991,TWEET,التغريدات السابقة من سفاسف الأمور لهذا الأسبوع، وبها حديث عن أوبريت السيسي وماء المريخ ومديحة كامل والبتنجان المقلي,0,1,0,0,0
992,C1,مديحة كامل اشمعني؟؟؟؟ بس مقال رائع,0,1,0,0,0
993,C2,دى اجابه على سؤال حضرتك الأهم لماذا عقمت النساء ان تنجب مثل مديحه كامل ؟,0,1,0,0,0
994,C3,"""لسة عاملي حظر من أيام مصايب المجلس العسكري.. راجع وشيل الحظر احنا في نفس المركب دلوقتي""",0,1,0,0,0
995,C4,لكي الله يا مصر,0,1,0,0,0
996,C5,لو الدنيا سوده فى وشك كده ومافيش حاجه عجباك روح بلدك قاعد هنا ليه!!!,0,0.6667,0,-1,0
1003,C1,ياراجل  المهم  شلنا مرسى والاخوان,0,0.6429,0,-1,0
